1213;0;3887.00;10.67;1392.00;0.00;0.32
3351;0;3867.00;10.35;1411.00;0.00;0.32
3735;0;3887.00;12.22;1383.00;0.00;0.32
4816;0;3877.00;10.97;1419.00;0.00;0.44
4909;0;3882.00;12.30;1403.00;0.00;0.32
5429;0;3901.00;11.00;1411.00;0.00;0.28
5489;0;3891.00;10.92;1419.00;0.00;0.32
5670;0;3885.00;10.15;1363.00;0.00;0.20
9187;0;3885.00;11.60;1430.00;0.00;0.28
1213;1;3886.50;10.30;1389.50;-0.19;0.32
3351;1;3866.50;10.10;1408.00;-0.16;0.32
3735;1;3884.50;10.30;1381.50;-1.03;0.32
4816;1;3878.00;10.90;1414.50;0.21;0.44
4909;1;3883.50;11.80;1400.00;0.46;0.32
5429;1;3900.00;10.32;1409.00;-0.46;0.28
5489;1;3889.00;13.05;1413.50;-0.34;0.32
5670;1;3884.50;10.00;1362.00;-0.46;0.20
9187;1;3883.50;11.10;1427.50;-0.54;0.28
1213;2;3884.50;9.70;1391.00;-1.19;0.32
3351;2;3870.00;11.50;1409.00;0.98;0.32
3735;2;3888.00;11.20;1381.50;0.58;0.32
4816;2;3873.00;10.90;1417.00;-1.10;0.44
4909;2;3880.50;10.40;1400.50;-0.54;0.32
5429;2;3903.50;11.90;1411.00;1.57;0.28
5489;2;3891.50;11.55;1414.00;0.10;0.32
5670;2;3887.00;11.27;1361.00;0.78;0.20
9187;2;3887.50;10.95;1428.00;0.89;0.28
1213;3;3889.50;13.05;1393.00;1.95;0.32
3351;3;3864.50;10.20;1412.00;4.33;0.32
3735;3;3886.50;13.30;1385.00;3.38;0.32
4816;3;3881.00;11.00;1418.50;1.44;0.44
4909;3;3879.00;10.30;1402.00;-1.24;0.32
5429;3;3897.50;10.00;1412.00;4.43;0.28
5489;3;3892.50;11.15;1416.00;0.46;0.32
5670;3;3886.00;10.65;1364.50;2.55;0.20
9187;3;3884.50;11.40;1432.00;3.38;0.28
1213;4;3886.00;10.70;1394.50;3.52;0.32
3351;4;3868.00;10.47;1413.00;2.67;0.32
3735;4;3890.00;14.12;1386.00;2.35;0.32
4816;4;3873.50;11.30;1422.50;3.92;0.44
4909;4;3885.50;12.85;1403.00;1.57;0.32
5429;4;3901.50;10.80;1413.50;2.94;0.28
5489;4;3888.00;13.90;1418.50;-1.40;0.32
5670;4;3884.00;10.15;1366.50;3.42;0.20
3351;5;3865.50;10.50;1415.50;3.46;0.32
4816;5;3879.50;11.20;1422.00;2.44;0.44
4909;5;3877.50;10.35;1405.00;4.29;0.32
5429;5;3905.00;11.07;1414.00;2.21;0.28
5489;5;3894.00;10.30;1422.50;2.43;0.32
4816;6;3877.50;11.20;1423.50;3.03;0.44
4909;6;3884.50;14.30;1405.50;2.35;0.32
5489;6;3890.50;10.30;1422.50;3.28;0.32
4909;7;3880.50;12.40;1406.50;3.54;0.32
5489;7;3892.00;10.30;1425.00;2.97;0.32
1213;9;3884.12;9.75;1392.00;1.57;0.32
3351;9;3864.12;10.13;1411.00;1.57;0.32
3735;9;3884.12;12.01;1383.00;1.57;0.32
4816;9;3873.04;11.05;1419.00;1.57;0.44
4909;9;3878.40;10.28;1403.00;1.57;0.32
5429;9;3897.76;10.00;1411.00;1.57;0.28
5489;9;3888.12;13.48;1419.00;1.57;0.32
5670;9;3883.20;9.50;1363.00;1.57;0.20
9187;9;3882.48;11.64;1430.00;1.57;0.28
1213;10;3889.88;13.29;1392.00;-1.57;0.32
3351;10;3869.88;11.29;1411.00;-1.57;0.32
3735;10;3889.88;12.14;1383.00;-1.57;0.32
4816;10;3880.96;11.00;1419.00;-1.57;0.44
4909;10;3885.60;12.77;1403.00;-1.57;0.32
5429;10;3904.24;11.82;1411.00;-1.57;0.28
5489;10;3893.88;10.20;1419.00;-1.57;0.32
5670;10;3886.80;10.98;1363.00;-1.57;0.20
9187;10;3887.52;10.94;1430.00;-1.57;0.28
1213;21;3889.88;13.29;1392.00;-1.57;0.32
3351;21;3869.88;11.29;1411.00;-1.57;0.32
3735;21;3889.88;12.14;1383.00;-1.57;0.32
4816;21;3880.96;11.00;1419.00;-1.57;0.44
4909;21;3885.60;12.77;1403.00;-1.57;0.32
5429;21;3904.24;11.82;1411.00;-1.57;0.28
5489;21;3893.88;10.20;1419.00;-1.57;0.32
5670;21;3886.80;10.98;1363.00;-1.57;0.20
9187;21;3887.52;10.94;1430.00;-1.57;0.28
